year,title,artist,number
1990,Nothing Compares 2 U ,Sinead O'Connor,12124513
1990,Vision of Love ,Mariah Carey,605850
1990,How Am I Supposed to Live Without You ,Michael Bolton,671135
1990,From A Distance ,Bette Midler,797230
1990,Because I Love You ,Stevie B.,1895804
1990,Vogue (Edit) ,Madonna,927599
1990,Step by Step ,New Kids On The Block,1522950
1990,Lambada (Single Version) ,Kaoma,26881896
1990,Release Me ,Wilson Phillips,628049
1990,Ice Ice Baby ,Vanilla Ice,608545
1990,The Power ,Snap!,498427
1990,All I Wanna Do Is Make Love To You ,Heart,1754179
1990,The Way You Do The Things You Do ,UB40,629296
1990,Roam ,The B-52's,803793
1990,Rhythm Nation ,Janet Jackson,1020482
1990,Freedom! '90 ,George Michael,731100
1990,This Old Heart Of Mine (1989 Ver. With Ronald Isley) ,Rod Stewart,1203971
1990,Hold On ,Wilson Phillips,628048
1990,Hold On ,En Vogue,268293
1990,U Can't Touch This ,MC Hammer,1683312
1990,Love Takes Time ,Mariah Carey,605730
1990,Downtown Train ,Rod Stewart,1203972
1990,I'm Your Baby Tonight ,Whitney Houston,635471
1990,Cradle Of Love ,Billy Idol,634314
1990,Tonight ,New Kids On The Block,1522951
1990,"It Must Have Been Love (From the Film ""Pretty Woman"") ",Roxette,5641530
1990,Close To You ,Maxi Priest,882779
1990,King of Wishful Thinking ,Go West,23312628
1990,Escapade ,Janet Jackson,1020494
1990,Children Of The Night ,Richard Marx,1481140
1990,Love And Emotion ,Stevie B.,26215216
1990,If Wishes Came True ,Sweet Sensation,3165695
1990,N/A,Kyper,3008290
1990,Sacrifice ,Elton John,1612071
1990,Dangerous ,Roxette,633670
1990,I'll Be Your Everything ,Tommy Page,395352
1990,"Romeo (12"" Remix) ",Dino,8055188
1990,"Tom's Diner (7"" Version) (Feat. Suzanne Vega) ",D.N.A.,1318302
1990,Praying For Time ,George Michael,731099
1990,Have You Seen Her ,MC Hammer,1683313
1990,"Blaze Of Glory (From ""Young Guns II"" Soundtrack) ",Jon Bon Jovi,106800635
1990,Do Me! ,Bell Biv DeVoe,884078
1990,Can't Stop ,After 7,3162450
1990,Can't Stop Fallin' Into Love ,Cheap Trick,1333019
1990,Oh Girl ,Paul Young,1506754
1990,Too Late To Say Goodbye ,Richard Marx,1481133
1990,Black Cat ,Janet Jackson,1020496
1990,Policy Of Truth ,Depeche Mode,445214
1990,Heart Like A Wheel ,Human League,1076716
1991,More Than Words ,Extreme,5578745
1991,(Everything I Do) I Do It For You (2017 Ultimate Edit) ,Bryan Adams,21626255
1991,Wind Of Change ,Scorpions,378296
1991,Gonna Make You Sweat (Everybody Dance Now) ,C & C Music Factory,670268
1991,I've Been Thinking About You ,Londonbeat,262395
1991,Joyride (Single Version) ,Roxette,625709
1991,Unforgettable (Duet with Nat King Cole) ,Nat King Cole,1090275
1991,Justify My Love ,Madonna,705174
1991,I Wanna Sex You Up (Single Mix) ,Color Me Badd,802267
1991,When A Man Loves A Woman ,Michael Bolton,1326241
1991,One More Try ,Timmy T.,9680757
1991,Love Is a Wonderful Thing ,Michael Bolton,609944
1991,Good Vibrations (Feat. Loleatta Holloway) ,Marky Mark And The Funky Bunch,31965453
1991,I Don't Wanna Cry ,Mariah Carey,619177
1991,Unbelievable ,EMF,33923641
1991,Losing My Religion ,R.E.M.,727879
1991,Rhythm of My Heart ,Rod Stewart,5168418
1991,I Adore Mi Amor (Interlude Version) ,Color Me Badd,802276
1991,"Rush, Rush ",Paula Abdul,885703
1991,Any Dream Will Do ,Jason Donovan,451568
1991,You're In Love ,Wilson Phillips,628052
1991,Signs ,Tesla,270859
1991,It’s So Hard To Say Goodbye To Yesterday ,Boyz II Men,1658614
1991,N/A,Rythm Syndicate,3031772
1991,Summertime ,DJ Jazzy Jeff & The Fresh Prince,267326
1991,Set the Night to Music (Duet With Maxi Priest) ,Roberta Flack,797393
1991,I Like The Way (The Kissing Game) ,Hi-Five,388650
1991,I'll Be By Your Side ,Stevie B.,1895807
1991,Miracle ,Whitney Houston,635476
1991,Someday ,Mariah Carey,619191
1991,Voices That Care ,N/A,3043906
1991,Sadeness ,Enigma,4306424
1991,It Ain't Over 'Til It's Over ,Lenny Kravitz,1117092
1991,All The Man That I Need ,Whitney Houston,601631
1991,Love Will Never Do (Without You) ,Janet Jackson,1020490
1991,I'll Give All My Love To You ,Keith Sweat,807558
1991,Where Does My Heart Beat Now ,Celine Dion,668292
1991,"Baby, Baby ",Amy Grant,1838805
1991,Crazy (7 Mix) ,Seal,809435
1991,It Never Rains (In Southern California) ,Tony! Toni! Tone!,31897794
1991,The First Time ,Surface,626306
1991,"Time, Love and Tenderness ",Michael Bolton,609952
1991,Romantic ,Karyn White,1580783
1991,The Shoop Shoop Song (It's In His Kiss) ,Cher,847346
1991,Gypsy Woman (She's Homeless) ,Crystal Waters,774057
1991,Power Of Love / Love Power ,Luther Vandross,668950
1991,Here I Am (Come And Take Me) ,UB40,261338
1991,RSVP ,Jason Donovan,273068
1991,Play That Funky Music ,Vanilla Ice,608506
1991,Rescue Me ,Madonna,705175
1992,I Will Always Love You ,Whitney Houston,330855
1992,Save The Best For Last ,Vanessa Williams,387103
1992,Tears in Heaven ,Eric Clapton,412033
1992,Beauty And The Beast (Duet With Peabo Bryson) ,Celine Dion,1945130
1992,Don't Let The Sun Go Down On Me ,George Michael,515700
1992,End Of The Road ,Boyz II Men,1658609
1992,"I'll Be There (Live at MTV Unplugged, Kaufman Astoria Studios, New York - March 1992) (Feat. Trey Lorenz) ",Mariah Carey,618895
1992,Smells Like Teen Spirit ,Nirvana,520096
1992,Achy Breaky Heart ,Billy Ray Cyrus,825661
1992,All 4 Love ,Color Me Badd,802268
1992,Bohemian Rhapsody (2011 Remaster) ,Queen,3087601
1992,Erotica (Album Version) ,Madonna,1000893
1992,Jump (Super Cat Dessork Mix) ,Kris Kross,253318
1992,Human Touch ,Bruce Springsteen,612706
1992,Missing You Now ,"Kenny G,Michael Bolton",1326238
1992,Under the Bridge ,Red Hot Chili Peppers,252124
1992,Baby Got Back ,Sir Mix-A-Lot,620116
1992,Baby-Baby-Baby (Album Radio Edit) ,TLC,2189912
1992,I Love Your Smile ,Shanice,378514
1992,This Used To Be My Playground ,Madonna,243756
1992,Jam (Roger's Jeep Radio Mix) ,Michael Jackson,273517
1992,To Love Somebody ,Michael Bolton,273303
1992,Humpin' Around ,Bobby Brown,278677
1992,N/A,Rod Stewart,3031853
1992,Free Your Mind ,En Vogue,268295
1992,If I Ever Fall In Love ,Shai,106849802
1992,November Rain ,Guns N' Roses,389323
1992,Keep The Faith ,Bon Jovi,360746
1992,Just Another Day ,Jon Secada,654224
1992,I'd Die Without You (Re-Recorded) ,P.M. Dawn,25893504
1992,When I Dream ,Carol Kidd,107041
1992,Do You Believe In Us ,Jon Secada,654221
1992,The Last Song ,Elton John,1612046
1992,Real Love ,Mary J. Blige,361741
1992,Would I Lie To You? ,Charles & Eddie,35356649
1992,To Be With You (2010 Remastered Ver.) ,Mr.Big,31127539
1992,N/A,P.M. Dawn,980303
1992,Stay (Radio Mix) ,Shakespears Sister,31959366
1992,If You Asked Me To ,Celine Dion,1428582
1992,Damn I Wish I Was Your Lover ,Sophie B. Hawkins,668863
1992,Masterpiece ,Atlantic Starr,804748
1992,I Can't Dance ,Genesis,662508
1992,Ain't 2 Proud 2 Beg (U.S. 7'' Edit) ,TLC,2189908
1992,Hazard ,Richard Marx,625381
1992,Make It Happen ,Mariah Carey,614833
1992,Good Enough ,Bobby Brown,260744
1992,One ,U2,737816
1992,The Best Things In Life Are Free ,Luther Vandross,378575
1993,(I Can't Help) Falling In Love With You ,UB40,254797
1993,A Whole New World (Aladdin's Theme) ,Peabo Bryson,360197
1993,All That She Wants ,Ace Of Base,5627723
1993,What's Up? ,4 Non Blondes,254644
1993,Dreamlover ,Mariah Carey,241202
1993,Heal The World ,Michael Jackson,273038
1993,That's The Way Love Goes ,Janet Jackson,241436
1993,In The Still Of The Nite (I’ll Remember) ,Boyz II Men,1658615
1993,I Have Nothing ,Whitney Houston,330857
1993,The River Of Dreams ,Billy Joel,221644
1993,Have I Told You Lately ,Rod Stewart,804411
1993,Informer ,Snow,254322
1993,Bed Of Roses ,Bon Jovi,360752
1993,Forever In Love ,Kenny G,272122
1993,Ordinary World ,Duran Duran,324424
1993,When I Fall In Love ,Celine Dion,1428600
1993,Runaway Train (2022 Remaster) ,Soul Asylum,254621
1993,I'm Every Woman ,Whitney Houston,330859
1993,Love Is ,Brian McKnight,368496
1993,Again ,Janet Jackson,241453
1993,Hero ,Mariah Carey,1426899
1993,Please Forgive Me (Album Version) ,Bryan Adams,31790740
1993,Deeper And Deeper ,Madonna,406646
1993,By The Time This Night Is Over ,Kenny G,272125
1993,Angel ,Jon Secada,654218
1993,Somebody To Love ,Queen,3087610
1993,I Don't Wanna Fight ,Tina Turner,885862
1993,Nuthin' But A G Thang ,Snoop Dogg,410380
1993,Rain ,Madonna,243762
1993,The Crying Game ,Boy George,260837
1993,Everybody Hurts ,R.E.M.,727923
1993,Creep ,Radiohead,255192
1993,Livin' On The Edge ,Aerosmith,1553540
1993,Man On The Moon ,R.E.M.,727929
