Year,POP,랩/힙합,록/메탈,R&B/Soul,일렉트로니카,재즈,보컬재즈,국외뮤지컬,CCM,국외CCM,국외영화,애시드/퓨전/팝,애니메이션/웹툰,키즈,만화,뉴에이지,월드뮤직,레게,컨트리,포크,클래식,크로스오버,라틴
1990,31,3,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,29,3,6,7,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,19,5,11,11,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1993,21,2,11,13,0,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0
1994,20,0,15,10,1,0,0,0,1,1,1,0,2,2,2,1,1,1,0,0,0,0,0
1995,23,1,9,15,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
1996,16,6,9,15,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0
1997,18,2,8,16,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,1,1,1,0
1998,18,3,8,16,0,0,0,0,1,1,3,0,0,0,0,0,0,0,2,0,0,0,0
1999,22,3,9,12,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0
2000,27,1,7,10,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0
2001,22,2,12,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0
2002,18,9,12,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,12,14,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1
2004,13,13,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2005,18,10,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,20,8,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,14,13,14,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2008,25,10,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2009,22,13,3,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2010,18,14,7,10,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011,21,7,6,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012,15,1,9,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2013,12,1,6,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,19,1,14,11,11,0,0,0,0,0,10,0,5,5,5,0,0,0,0,0,0,0,0
2015,21,2,15,16,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2016,27,4,9,11,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2017,31,2,5,4,11,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1
2018,34,2,7,2,9,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1
2019,37,2,5,3,7,0,0,0,0,0,7,0,2,2,2,0,0,0,0,0,0,0,0
2020,38,1,3,7,2,0,0,0,0,0,1,0,2,2,2,0,0,0,1,0,0,0,0
2021,43,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,44,1,2,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
