year,title,artist,number,genre
2000,아시나요 ,조성모,106212,발라드
2000,다 줄거야 (Acoustic Ver.) ,조규만,1576735,발라드
2000,Run To You ,DJ DOC,505165,"댄스, 랩/힙합"
2000,거짓말 ,god,10435,발라드
2000,초련(初戀) (Techno Mix) (Feat. 윤진) ,클론,91327,댄스
2000,가시나무 ,조성모,607552,발라드
2000,흔들린 우정 ,홍경민,87695,댄스
2000,나의 연인(我戀) ,임창정,86668,발라드
2000,영원 ,스카이,85674,"발라드, 록/메탈"
2000,멍 ,김현정,38426,댄스
2000,오! 가니 ,컨츄리 꼬꼬,4077,댄스
2000,기도 ,정일영,27600,"발라드, 국내드라마"
2000,전설속의 누군가처럼 ,신승훈,46218,발라드
2000,너를 위해 ,임재범,3680,발라드
2000,바보 ,박효신,85108,R&B/Soul
2000,그대가 그대를 ,이승환,445159,발라드
2000,매직 카펫 라이드 ,자우림,9270,록/메탈
2000,중독된 사랑 ,조장혁,2270749,발라드
2000,해줄 수 없는 일 ,박효신,85707,R&B/Soul
2000,고백 ,박혜경,85900,록/메탈
2000,비(悲)의 Rhapsody ,최재훈,75233,록/메탈
2000,,윤현석,88423,발라드
2000,오랜 방황의 끝 ,김태영,34093,발라드
2000,Day By Day ,플라이 투 더 스카이,86166,R&B/Soul
2000,Tears ,소찬휘,1140592,댄스
2000,상실 ,박상민,67169,발라드
2000,잘됐어!!! ,샵,88409,댄스
2000,Lie (Radio Ver.) ,박화요비,27833,R&B/Soul
2000,어제처럼 ,제이,3824,R&B/Soul
2000,와인(迗人) ,김경호,3690,록/메탈
2000,바꿔 ,이정현,85257,댄스
2000,그대니까요 (Duet With 차은주) ,김현철,1002851,발라드
2000,와 ,이정현,85258,댄스
2000,One Love ,원타임,91329,랩/힙합
2000,요즘 너는 ,이현우,610483,발라드
2000,서방님 ,이소은,86327,발라드
2000,맥주와 땅콩 ,쿨 (COOL),27236,댄스
2000,I Believe ,이수영,1564057,발라드
2000,애수(哀愁) ,god,91325,댄스
2000,Cyber Lover ,터보,1606631,댄스
2000,머피의 법칙 ,DJ DOC,33146,"발라드, 댄스, 랩/힙합"
2000,너를 보내고 ,YB (윤도현 밴드),91322,록/메탈
2000,부메랑 ,김건모,38541,발라드
2000,Sad Salsa ,백지영,87310,댄스
2000,"힘을 내요, 미스터 김 ",롤러 코스터,37100,록/메탈
2000,성인식 ,박지윤,27638,댄스
2000,울트라맨이야 ,서태지,88794,록/메탈
2000,Blue Sky ,박기영,82594,록/메탈
2000,사슬 ,서문탁,27561,록/메탈
2000,Annie ,윤종신,87019,발라드
2001,벌써 일년 ,브라운 아이즈,19807,R&B/Soul
2001,I Love You ,포지션,89806,발라드
2001,미안해요 ,김건모,19091,발라드
2001,또 한번 사랑은 가고 ,이기찬,32574,발라드
2001,화장을 고치고 ,왁스,26378,발라드
2001,먼곳에서 ,박효신,10838,발라드
2001,당신은 모르실거야 (CF - LIG 핑클편) ,핑클 (Fin.K.L),7712,발라드
2001,길 ,god,104788,발라드
2001,다시 사랑한다 말할까 ,김동률,111209,발라드
2001,Special Night ,양파,1213165,발라드
2001,제발 ,이소라,9040,발라드
2001,Baby Baby ,조규찬,104759,발라드
2001,내게 오는 길 ,성시경,8302,발라드
2001,좋은 사람 (Feat. 김형중) ,토이,18357,발라드
2001,하루 ,김범수,10398,발라드
2001,사진속에 담긴 추억 ,임재범,609766,발라드
2001,내게 와 줘 ,YB (윤도현 밴드),1096487,록/메탈
2001,시간이 흐른 뒤 (As Time Goes By) ,윤미래,105886,R&B/Soul
2001,편지 (Original Ver.) ,최재훈,8305,발라드
2001,Good Life ,드렁큰 타이거,33026,랩/힙합
2001,하나의 사랑 ,박상민,78002,발라드
2001,Je T'aime ,해이,8274,발라드
2001,천만에요 ,애즈원,91166,R&B/Soul
2001,기다리는 이유 ,임창정,25594,발라드
2001,떠난 너 ,김현정,25629,댄스
2001,너를 위해 ,임재범,3680,발라드
2001,A-Yo ,지누션,90105,랩/힙합
2001,Double ,김건모,19094,댄스
2001,Jumpo Mambo ,쿨 (COOL),24105,댄스
2001,밤이 깊었네 ,크라잉넛 (CRYING NUT),21360,"인디음악, 록/메탈"
2001,눈물 ,박화요비,37271,R&B/Soul
2001,고백 ,이승철,19175,댄스
2001,미소천사 ,성시경,8293,댄스
2001,난 여자가 있는데 (CF - 컴팩 프리자리오) ,박진영,20226,댄스
2001,파란 ,코요태,10126,댄스
2001,처음처럼 ,성시경,8290,발라드
2001,오빠 ,왁스,8921,댄스
2001,Endless ,플라워,9573,록/메탈
2001,Change ,소찬휘,90902,댄스
2001,You Mean Everything To Me ,박정현,75279,R&B/Soul
2001,먼 훗날 ,조 트리오,8218594,발라드
2001,믿을진 모르겠지만… ,김진표,24670,랩/힙합
2001,아름다운 날들 ,장혜진,104868,발라드
2001,꿈을 모아서 (Just In Love) ,S.E.S.,24971,댄스
2001,You're My Life ,김민종,32776,발라드
2001,하루 ,박혜경,9543,록/메탈
2001,추락 ,백지영,19776,댄스
2001,감싸 안으며 (Show Me Your Love) ,S.E.S.,105639,댄스
2001,동경 ,박효신,10837,발라드
2001,"구리뱅뱅 (Feat. 1kyne, 난아) ",YDG,3013199,랩/힙합
2002,No.1 ,보아 (BoA),191093,댄스
2002,우린 제법 잘 어울려요 ,성시경,313559,발라드
2002,Never Ending Story ,부활,316434,록/메탈
2002,비몽 ,코요태,500962,댄스
2002,좋은사람 ,박효신,430228,발라드
2002,사랑 Two ,윤도현,62619,록/메탈
2002,...안 되나요... (부제: 화양연화) ,휘성 (Realslow),111413,R&B/Soul
2002,미워도 다시 한번 (Original Ver.) ,바이브,500797,발라드
