year,title,artist,number,genre
2010,Nothin' On You (Feat. Bruno Mars) ,B.o.B,2610672,랩/힙합
2010,Bad Romance ,Lady Gaga,2336775,POP
2010,Just The Way You Are ,Bruno Mars,3146162,R&B/Soul
2010,DJ Got Us Fallin' In Love (feat. Pitbull) ,Usher,2756660,R&B/Soul
2010,If We Ever Meet Again (Feat. Katy Perry) ,Timbaland,2467083,랩/힙합
2010,Telephone (Feat. Beyoncé) ,Lady Gaga,2363261,POP
2010,Just A Dream ,Nelly,2986475,랩/힙합
2010,Airplanes (Feat. Hayley Williams Of Paramore) ,B.o.B,2652027,랩/힙합
2010,Put Your Records On ,Corinne Bailey Rae,1590576,R&B/Soul
2010,In My Head ,Jason Derulo,2596048,R&B/Soul
2010,Breakeven ,The Script,1914397,"POP, 록/메탈"
2010,Need You Now ,Lady Antebellum,2674326,컨트리
2010,"Hey, Soul Sister ",Train,2270948,"POP, 록/메탈"
2010,Cooler Than Me ,Mike Posner,2656348,R&B/Soul
2010,Teenage Dream ,Katy Perry,2798849,POP
2010,Only Girl (In The World) ,Rihanna,3023244,POP
2010,Break Your Heart (Feat. Ludacris) ,Taio Cruz,2612076,"POP, R&B/Soul"
2010,California Gurls (Feat. Snoop Dogg) ,Katy Perry,2915430,POP
2010,I Like It (Feat. Pitbull) ,Enrique Iglesias,2896421,POP
2010,Billionaire (Feat. Bruno Mars) ,Travie McCoy,2635862,랩/힙합
2010,Bulletproof ,La Roux,2219574,일렉트로니카
2010,OMG ,Usher,2609274,R&B/Soul
2010,TiK ToK ,Kesha,2386148,POP
2010,Empire State Of Mind (Feat. Alicia Keys) ,JAY-Z,2286952,랩/힙합
2010,Love The Way You Lie (Feat. Rihanna) ,Eminem,2728462,랩/힙합
2010,Magic (Feat. Rivers Cuomo) ,B.o.B,2660357,랩/힙합
2010,Your Love Is My Drug ,Kesha,2670150,POP
2010,Rude Boy ,Rihanna,2367655,R&B/Soul
2010,Imma Be ,Black Eyed Peas,2192669,랩/힙합
2010,Haven't Met You Yet ,Michael Buble,2338552,"재즈, 보컬재즈"
2010,Check It Out (Edited Ver.) ,Will.I.Am,3132451,랩/힙합
2010,Club Can't Handle Me (Feat. David Guetta) ,Flo Rida,3050855,랩/힙합
2010,Like A G6 (Feat. The Cataracs & DEV) ,Far East Movement,2951007,랩/힙합
2010,Alejandro ,Lady Gaga,2363257,POP
2010,My First Kiss (Feat. Ke$ha) ,3OH!3,2776709,일렉트로니카
2010,Impossible ,Shontelle,2645903,R&B/Soul
2010,If It's Love ,Train,2661770,록/메탈
2010,Naturally (Radio Edit) ,Selena Gomez & The Scene,2604972,POP
2010,Ridin' Solo ,Jason Derulo,2616096,R&B/Soul
2010,Gettin' Over You (Feat. Fergie & Lmfao) ,David Guetta,2641148,일렉트로니카
2010,Live Like We're Dying ,Kris Allen,2336066,POP
2010,Bottoms Up (Feat. Nicki Minaj) ,Trey Songz,2933754,랩/힙합
2010,Take It Off ,Kesha,2804807,POP
2010,September ,Daughtry,2225297,록/메탈
2010,Sexy Bitch (feat. Akon) ,David Guetta,3040898,일렉트로니카
2010,If I Had You (하이트진로d - 싸이 물풍선싸움편 광고 삽입곡) ,Adam Lambert,2724098,POP
2010,The Only Exception ,Paramore,2641649,"POP, 록/메탈"
2010,Not Afraid ,Eminem,2683777,랩/힙합
2010,The Man Who Can't Be Moved ,The Script,1909504,"POP, 록/메탈"
2010,Misery ,Maroon 5,7865664,록/메탈
2011,Party Rock Anthem (Feat. Lauren Bennett & GoonRock) (기아자동차 소울 광고 삽입곡) ,LMFAO,3449750,POP
2011,Moves Like Jagger (Feat. Christina Aguilera) (Studio Recording From The Voice Performance) ,Maroon 5,3835681,록/메탈
2011,I Got My Eye On You (Cristian Marchi & Paolo Sandrini Perfect Edit) (Feat. Luciana) ,Nari & Milani,2992122,일렉트로니카
2011,,Yolanda Be Cool,2944372,일렉트로니카
2011,Shut Up And Let Me Go ,The Ting Tings,1923229,록/메탈
2011,Shots (Feat. Lil Jon) ,LMFAO,2275567,POP
2011,"Go Ape (Feat. Lil Jon, Colette Carr) ",Far East Movement,3156670,일렉트로니카
2011,Sunday Morning ,Maroon 5,1331699,POP
2011,I'm Yours ,Jason Mraz,1860268,POP
2011,Like A G6 (Feat. The Cataracs & DEV) ,Far East Movement,2951007,랩/힙합
